datetime,air_density
2019-01-21 12:00:00,"[[128.44171 128.34367 128.29367]
 [128.55109 128.44028 128.25204]
 [128.35822 128.3439  128.26077]]"
2019-01-21 18:00:00,"[[127.981346 127.812386 127.69092 ]
 [128.04959  127.84848  127.68046 ]
 [128.06564  127.84928  127.82629 ]]"
2019-01-22 00:00:00,"[[126.43827  126.2775   126.18506 ]
 [126.32933  126.284935 126.34209 ]
 [126.260864 126.43995  126.75578 ]]"
2019-01-22 06:00:00,"[[125.45239  125.25922  125.09919 ]
 [125.42041  125.231514 125.18826 ]
 [125.43966  125.273895 125.39214 ]]"
2019-01-22 12:00:00,"[[125.89043  125.875725 125.929   ]
 [125.97096  125.96492  125.84412 ]
 [125.6556   125.80292  125.786224]]"
2019-01-22 18:00:00,"[[125.52122  125.37836  125.16738 ]
 [125.373985 125.16308  125.02728 ]
 [125.40984  125.07062  125.03189 ]]"
2019-01-23 00:00:00,"[[126.06357  125.64573  125.36712 ]
 [125.64771  125.38134  125.2623  ]
 [125.282616 125.31768  125.36254 ]]"
2019-01-23 06:00:00,"[[126.60026  126.21892  125.87081 ]
 [126.223076 126.01644  125.98021 ]
 [125.91859  125.96132  125.99805 ]]"
2019-01-23 12:00:00,"[[126.445045 126.232956 126.0417  ]
 [126.434    126.16796  125.92585 ]
 [126.23703  125.97769  125.834755]]"
2019-01-23 18:00:00,"[[126.77941  126.476555 126.13156 ]
 [126.45004  126.21266  126.058876]
 [126.292786 126.14369  126.10128 ]]"
2019-01-24 00:00:00,"[[127.64601 127.33435 126.89856]
 [127.30767 126.99794 126.71308]
 [127.21331 126.87118 126.75126]]"
2019-01-24 06:00:00,"[[128.429    128.00491  127.57613 ]
 [127.957115 127.584694 127.31522 ]
 [127.82836  127.47555  127.24038 ]]"
2019-01-24 12:00:00,"[[127.75155 127.56338 127.31917]
 [127.62804 127.39926 127.25266]
 [127.70436 127.40052 127.26812]]"
2019-01-24 18:00:00,"[[127.274536 127.20786  127.045746]
 [127.124855 126.99742  126.91781 ]
 [127.21146  126.952576 126.88318 ]]"
2019-01-25 00:00:00,"[[127.60884  127.507744 127.12944 ]
 [127.398384 127.1666   127.002205]
 [127.65248  127.15388  127.01215 ]]"
2019-01-25 06:00:00,"[[127.365555 127.31427  127.13507 ]
 [127.326645 127.17695  127.04421 ]
 [127.493065 127.18047  127.106544]]"
2019-01-25 12:00:00,"[[125.849464 125.949745 126.02137 ]
 [126.08109  126.01383  125.86206 ]
 [125.92006  125.734215 125.74395 ]]"
2019-01-25 18:00:00,"[[124.99337  124.95682  124.983795]
 [125.229996 125.14131  124.97682 ]
 [125.089485 125.0256   124.95382 ]]"
2019-01-26 00:00:00,"[[125.39256  125.29396  125.259926]
 [125.72831  125.54783  125.32213 ]
 [125.77851  125.54441  125.3989  ]]"
2019-01-26 06:00:00,"[[125.37567  125.34061  125.40187 ]
 [125.60824  125.561714 125.44581 ]
 [125.45014  125.490746 125.45924 ]]"
2019-01-26 12:00:00,"[[124.48311  124.51058  124.640076]
 [124.62043  124.65098  124.58879 ]
 [124.281944 124.43605  124.461525]]"
2019-01-26 18:00:00,"[[123.13233  123.10178  123.153275]
 [123.2558   123.21734  123.1319  ]
 [123.06274  123.12087  123.12549 ]]"
2019-01-27 00:00:00,"[[122.319176 122.2283   122.21348 ]
 [122.377235 122.29135  122.13954 ]
 [122.121864 122.162575 122.12675 ]]"
2019-01-27 06:00:00,"[[122.44908  122.347435 122.323135]
 [122.495735 122.388664 122.21696 ]
 [122.26918  122.214424 122.10402 ]]"
2019-01-27 12:00:00,"[[123.82376  123.84265  123.8995  ]
 [123.99772  123.99282  123.883965]
 [123.80555  123.884415 123.861664]]"
2019-01-27 18:00:00,"[[123.91283 123.83999 123.84801]
 [124.01724 123.93187 123.80137]
 [123.90515 123.88896 123.8288 ]]"
2019-01-28 00:00:00,"[[124.59374  124.47901  124.38222 ]
 [124.663185 124.5123   124.320305]
 [124.641235 124.50709  124.35157 ]]"
2019-01-28 06:00:00,"[[125.79731  125.54963  125.33314 ]
 [125.79905  125.53554  125.27787 ]
 [125.765114 125.49643  125.27362 ]]"
2019-01-28 12:00:00,"[[126.18175  126.07427  125.99364 ]
 [126.31859  126.216675 126.01645 ]
 [126.1159   126.12511  126.00817 ]]"
2019-01-28 18:00:00,"[[126.9427   126.70668  126.47979 ]
 [126.78226  126.57054  126.392525]
 [126.70107  126.51507  126.37394 ]]"
2019-01-29 00:00:00,"[[127.925606 127.54009  127.12768 ]
 [127.5335   127.13911  126.9072  ]
 [127.686195 127.20131  126.964134]]"
2019-01-29 06:00:00,"[[127.123146 126.769554 126.432976]
 [126.96886  126.547424 126.28757 ]
 [127.09406  126.51118  126.36673 ]]"
2019-01-29 12:00:00,"[[125.06167  125.069496 125.12218 ]
 [125.09252  125.12762  125.152855]
 [124.94329  125.08395  125.17999 ]]"
2019-01-29 18:00:00,"[[124.803246 124.756615 124.71076 ]
 [124.932175 124.929565 124.90195 ]
 [124.960976 125.06987  125.13501 ]]"
2019-01-30 00:00:00,"[[125.46314  125.1467   124.96085 ]
 [125.45747  125.20205  125.06046 ]
 [125.26811  125.21364  125.237076]]"
2019-01-30 06:00:00,"[[125.934845 125.701836 125.45163 ]
 [125.76223  125.51361  125.35828 ]
 [125.71038  125.42874  125.28217 ]]"
2019-01-30 12:00:00,"[[125.71527  125.73821  125.73812 ]
 [125.78934  125.77065  125.62856 ]
 [125.534676 125.57631  125.506584]]"
2019-01-30 18:00:00,"[[125.71157  125.54217  125.267624]
 [125.38726  125.25693  125.19319 ]
 [125.34408  125.237686 125.25503 ]]"
2019-01-31 00:00:00,"[[126.70246  126.26736  125.882935]
 [126.29017  125.87396  125.718346]
 [126.415565 125.891594 125.7451  ]]"
2019-01-31 06:00:00,"[[126.976036 126.500946 126.00892 ]
 [126.4489   125.97726  125.80447 ]
 [126.65302  125.99518  125.80555 ]]"
2019-01-31 12:00:00,"[[125.1865  125.17582 125.11905]
 [125.09212 125.1121  125.19399]
 [125.16517 125.25374 125.40898]]"
2019-01-31 18:00:00,"[[124.97074  124.88026  124.656654]
 [124.82784  124.69148  124.60753 ]
 [124.95325  124.73576  124.72686 ]]"
